id_transaccion,fecha_compra,id_cliente,categoria_producto,precio_cop,metodo_pago,canal,dispositivo,ciudad_envio,tiempo_entrega_dias,calificacion_cliente_1a5,producto_devuelto
TXN-0003978,2022-11-19,17965.0,Deportes,40725.0,Tarjeta crédito,App móvil,Android,Cali,6.0,5,No
TXN-0001454,2024-02-20,11867.0,DEPORTES,211276.0,PSE,Sitio web,Android,Bogotá,5.0,5,No
TXN-0006702,2023-07-19,14949.0,Moda,129658.0,Tarjeta crédito,Sitio web,Desktop,Medellín,5.0,5,No
TXN-0005844,2023-02-13,21174.0,Moda,119780.0,PSE,App móvil,Android,Bogotá,4.0,5,Sí
TXN-0002489,2023-11-26,33472.0,Deportes,190363.0,PSE,App móvil,Android,CALI,4.0,5,No
TXN-0000323,2022-07-16,44653.0,Hogar,217344.0,Tarjeta crédito,App móvil,Android,Cartagena,6.0,5,No
TXN-0001072,2024-01-20,17674.0,Juguetes,81089.0,PSE,Sitio web,iOS,Bogotá,3.0,5,No
TXN-0007633,2023-05-28,34440.0,Belleza,86193.0,PSE,Sitio web,Android,Medellín,4.0,5,No
TXN-0004694,2022-05-16,35534.0,Moda,185018.0,Tarjeta crédito,App móvil,Android,Cali,1.0,5,No
TXN-0005390,2024-03-27,44038.0,Hogar,143343.0,Tarjeta crédito,Sitio web,iOS,Bogotá,6.0,5,No
TXN-0004560,2022-12-17,19890.0,Belleza,72747.0,Tarjeta crédito,App móvil,iOS,Pereira,3.0,5,No
TXN-0002583,2022-03-18,37759.0,Hogar,203482.0,Tarjeta crédito,App móvil,iOS,Cúcuta,5.0,5,No
TXN-0000213,2024-08-26,23876.0,Electrónica,345190.0,Tarjeta crédito,Sitio web,Desktop,Cali,5.0,5,No
TXN-0001543,2024-02-28,,Electrónica,962457.0,PSE,App móvil,Android,Ibagué,1.0,5,No
TXN-0000165,2024-12-28,43278.0,Moda,143316.0,PSE,App móvil,Android,Cúcuta,7.0,5,No
TXN-0007643,2024-10-24,35771.0,Juguetes,54155.0,Billetera digital,Sitio web,Android,Bogotá,3.0,5,No
,2024-04-28,56531.0,Electrónica,356500.0,Tarjeta débito,App móvil,Android,Bogotá,6.0,5,No
TXN-0007991,2024-06-12,21311.0,Electrónica,493025.0,Tarjeta crédito,Sitio web,iOS,Medellín,5.0,5,No
TXN-0000764,2024-12-18,19979.0,Juguetes,94841.0,Tarjeta crédito,App móvil,Android,Ibagué,7.0,5,Sí
TXN-0007432,2022-12-29,37951.0,Moda,98985.0,Tarjeta débito,App móvil,iOS,Barranquilla,1.0,5,No
TXN-0004802,,29338.0,Belleza,77338.0,Tarjeta crédito,Sitio web,iOS,Bogotá,3.0,5,No
TXN-0006999,2024-12-08,44022.0,HOGAR,173501.0,Tarjeta crédito,App móvil,Android,Cali,5.0,5,No
TXN-0001202,2022-04-24,31245.0,Tecnología,743723.0,Tarjeta débito,Sitio web,Android,BUCARAMANGA,4.0,5,No
TXN-0004162,2022-06-05,39143.0,Juguetes,103871.0,Billetera digital,Sitio web,Android,Bogotá,4.0,5,Sí
TXN-0006577,2022-06-17,18045.0,Belleza,93182.0,Tarjeta crédito,App móvil,Android,Cúcuta,3.0,5,No
TXN-0004632,2024-01-06,17532.0,Electrónica,539156.0,Contraentrega,App móvil,Android,Cali,1.0,5,Sí
TXN-0003282,2023-09-13,25657.0,Moda,95844.0,Tarjeta débito,Sitio web,Desktop,Cali,2.0,5,No
TXN-0004967,2024-08-16,23108.0,Alimentos,63961.0,PSE,Sitio web,Android,Bogotá,7.0,5,No
TXN-0003189,2024-07-26,58815.0,Belleza,40383.0,Tarjeta crédito,Sitio web,Desktop,Ibagué,3.0,5,No
TXN-0007958,2023-09-16,21351.0,BELLEZA,156459.0,Tarjeta crédito,App móvil,Android,Cali,3.0,5,No
TXN-0000968,2024-07-14,40989.0,Electrónica,509151.0,PSE,App móvil,Android,Bogotá,4.0,5,No
,2024-03-20,29154.0,Electrónica,487239.0,Tarjeta crédito,App móvil,Desktop,Bogotá,1.0,5,No
TXN-0003428,2024-12-13,55567.0,Juguetes,73189.0,PSE,Sitio web,Desktop,Manizales,5.0,5,No
TXN-0005921,2024-03-08,54414.0,Hogar,213324.0,PSE,Sitio web,Desktop,Cali,1.0,5,No
TXN-0000472,2023-09-02,37355.0,Electrónica,540695.0,PSE,App móvil,Desktop,Cali,5.0,5,No
TXN-0007299,2023-01-13,17924.0,Juguetes,135340.0,Tarjeta crédito,App móvil,Android,Bogotá,5.0,5,No
TXN-0000164,2024-03-02,10913.0,Tecnología,1001620.0,Tarjeta débito,Sitio web,Android,Cartagena,3.0,5,No
TXN-0002430,2024-04-02,18713.0,Libros,76047.0,Tarjeta crédito,Sitio web,Android,Barranquilla,1.0,5,No
TXN-0002914,2022-12-18,15348.0,Electrónica,418258.0,PSE,Sitio web,Android,Medellín,3.0,5,No
TXN-0001411,2022-04-18,11126.0,Tecnología,755569.0,Billetera digital,App móvil,Desktop,Manizales,2.0,5,No
TXN-0007258,2023-05-03,29199.0,Tecnología,843985.0,Tarjeta débito,Sitio web,iOS,Medellín,3.0,5,No
TXN-0003737,2022-06-22,12818.0,ALIMENTOS,54530.0,PSE,App móvil,Desktop,Bogotá,3.0,5,No
TXN-0001292,2023-02-03,21801.0,Hogar,86812.0,Tarjeta débito,App móvil,Android,Medellín,6.0,5,No
TXN-0001062,2022-12-03,33095.0,Deportes,98679.0,Tarjeta débito,App móvil,iOS,Bogotá,4.0,5,No
TXN-0007651,2022-07-30,25987.0,Hogar,114570.0,PSE,Sitio web,Android,Medellín,7.0,5,No
TXN-0005932,2024-10-15,40374.0,Moda,97979.0,Billetera digital,App móvil,iOS,Barranquilla,3.0,5,No
TXN-0006126,2023-04-22,53955.0,Hogar,125491.0,Tarjeta crédito,Sitio web,Android,BUCARAMANGA,2.0,5,No
TXN-0007716,2024-10-26,25670.0,Electrónica,604546.0,Contraentrega,App móvil,Android,Bogotá,5.0,5,No
TXN-0005455,,22104.0,Electrónica,399586.0,Contraentrega,Sitio web,Android,Cali,3.0,5,No
TXN-0002957,2024-01-11,58346.0,Electrónica,734072.0,Tarjeta crédito,App móvil,Android,Medellín,6.0,5,No
,2023-12-08,10654.0,Electrónica,855674.0,Tarjeta débito,Sitio web,,Cali,3.0,5,No
TXN-0007009,2023-09-02,59590.0,Moda,112445.0,Tarjeta crédito,App móvil,Android,Cali,1.0,5,No
TXN-0000959,2022-04-21,13164.0,Electrónica,208248.0,Tarjeta crédito,App móvil,Android,Medellín,6.0,5,No
TXN-0007346,2024-05-29,38801.0,Deportes,115173.0,Tarjeta crédito,App móvil,Desktop,Cali,3.0,5,No
TXN-0004207,2022-06-07,55400.0,Mascotas,89450.0,Tarjeta crédito,App móvil,Android,Bogotá,6.0,5,No
TXN-0002634,2024-04-27,31136.0,Moda,101958.0,Tarjeta débito,Sitio web,iOS,Cúcuta,1.0,5,No
TXN-0001728,,35170.0,Belleza,101174.0,Tarjeta crédito,App móvil,Desktop,Bogotá,4.0,5,No
TXN-0004357,2023-07-13,56215.0,Hogar,110438.0,Tarjeta débito,App móvil,Desktop,Medellín,7.0,5,No
TXN-0002333,2022-06-23,23205.0,Tecnología,1049222.0,Contraentrega,App móvil,Android,Cartagena,2.0,5,No
TXN-0001174,2024-11-26,48925.0,Alimentos,37202.0,Tarjeta débito,Sitio web,Desktop,Cali,6.0,5,No
TXN-0002822,2022-02-12,35671.0,Libros,36039.0,Billetera digital,App móvil,Desktop,Manizales,7.0,5,No
TXN-0003154,2022-11-29,48759.0,Electrónica,567570.0,Tarjeta débito,Sitio web,Android,Cali,5.0,5,No
TXN-0006307,2024-08-18,45558.0,Moda,83376.0,Contraentrega,Sitio web,Desktop,Barranquilla,7.0,5,No
TXN-0002659,2023-11-13,41889.0,Hogar,290758.0,Tarjeta débito,App móvil,Android,Barranquilla,8.0,3,No
TXN-0004664,2022-12-29,52710.0,Mascotas,62738.0,Tarjeta crédito,App móvil,iOS,Pereira,7.0,5,No
TXN-0006481,2024-08-22,12761.0,Alimentos,44710.0,Tarjeta débito,Sitio web,Android,Medellín,5.0,5,No
TXN-0005374,2022-09-01,19509.0,Electrónica,367933.0,Contraentrega,App móvil,iOS,Cúcuta,2.0,5,No
TXN-0002851,2023-02-09,17926.0,Alimentos,46380.0,Tarjeta débito,Sitio web,Desktop,Bogotá,6.0,5,No
TXN-0000851,2024-04-24,49288.0,ALIMENTOS,20014.0,Tarjeta crédito,App móvil,Android,Cartagena,7.0,5,No
TXN-0003785,2022-05-24,19702.0,Hogar,322012.0,Tarjeta débito,App móvil,Android,Cúcuta,5.0,5,No
TXN-0007135,2023-07-29,15072.0,Alimentos,70211.0,Contraentrega,App móvil,Desktop,Pereira,5.0,5,No
TXN-0007428,2024-01-21,52008.0,Libros,43294.0,Tarjeta crédito,App móvil,Android,Bogotá,3.0,5,No
TXN-0000522,2022-07-11,31444.0,Hogar,146051.0,Tarjeta crédito,Sitio web,iOS,Bogotá,2.0,5,No
TXN-0000331,2023-06-17,57908.0,Tecnología,400818.0,Billetera digital,App móvil,iOS,Bogotá,4.0,5,No
TXN-0007237,2024-10-19,42350.0,Belleza,77385.0,Tarjeta crédito,App móvil,iOS,Cúcuta,4.0,5,No
TXN-0006959,2024-02-24,54462.0,Electrónica,613196.0,Tarjeta crédito,Sitio web,Desktop,Bogotá,4.0,5,No
TXN-0003770,2022-05-22,41936.0,Electrónica,614726.0,Billetera digital,App móvil,Android,Ibagué,6.0,5,No
TXN-0005705,2024-09-06,25888.0,Moda,158757.0,Tarjeta débito,App móvil,Android,Manizales,6.0,5,No
TXN-0002423,2023-12-10,14875.0,Juguetes,84242.0,Tarjeta débito,App móvil,Desktop,Bogotá,1.0,5,No
TXN-0003064,2022-03-15,36667.0,Alimentos,46013.0,Tarjeta crédito,Sitio web,iOS,Bogotá,1.0,5,No
TXN-0003351,2022-09-25,25650.0,Electrónica,914173.0,PSE,Sitio web,Android,Bogotá,5.0,5,No
TXN-0000435,2023-03-08,25380.0,Tecnología,1152048.0,Contraentrega,App móvil,Android,Bogotá,4.0,5,No
TXN-0007524,2022-10-27,31010.0,Electrónica,567089.0,Tarjeta débito,App móvil,,BUCARAMANGA,7.0,5,No
TXN-0001681,2024-02-20,20626.0,Tecnología,1226406.0,Tarjeta débito,Sitio web,iOS,Barranquilla,2.0,5,No
,2023-12-21,37542.0,Moda,98186.0,PSE,Sitio web,Desktop,MEDELLÍN,2.0,5,No
TXN-0003704,2024-11-13,46654.0,Belleza,68517.0,Tarjeta crédito,Sitio web,Android,Bogotá,5.0,5,No
,2023-06-29,46714.0,Alimentos,55571.0,Contraentrega,Sitio web,Android,Medellín,5.0,5,No
,2024-03-28,47098.0,Mascotas,109763.0,Tarjeta crédito,Sitio web,Desktop,Bogotá,4.0,5,No
TXN-0003105,2023-08-24,38256.0,Belleza,32430.0,Tarjeta crédito,App móvil,Desktop,Bogotá,3.0,5,No
TXN-0002196,2023-09-01,14316.0,Tecnología,545328.0,PSE,Sitio web,Desktop,Cartagena,3.0,5,No
TXN-0005538,2022-07-20,58722.0,MODA,80189.0,Tarjeta crédito,App móvil,Android,Bogotá,8.0,5,No
TXN-0002011,2024-11-12,36547.0,Hogar,234172.0,Tarjeta débito,App móvil,Android,CÚCUTA,3.0,5,No
TXN-0006584,2024-07-19,11013.0,Tecnología,625875.0,Tarjeta crédito,Sitio web,Desktop,Bucaramanga,4.0,5,No
TXN-0001905,2022-01-20,43853.0,Libros,69204.0,Tarjeta débito,App móvil,Android,Barranquilla,6.0,5,No
TXN-0005400,2024-06-25,55000.0,Belleza,97111.0,PSE,App móvil,Android,Bogotá,2.0,5,No
TXN-0004154,2024-01-23,37548.0,Belleza,62191.0,Tarjeta débito,App móvil,Android,Medellín,1.0,5,No
TXN-0000407,2024-02-18,42380.0,Juguetes,111288.0,Tarjeta débito,Sitio web,Android,Bucaramanga,6.0,5,No
TXN-0005086,2022-01-24,39898.0,Belleza,89387.0,Tarjeta crédito,Sitio web,iOS,Bucaramanga,6.0,5,No
TXN-0007862,2022-11-19,54251.0,Alimentos,52770.0,Tarjeta crédito,App móvil,Android,Manizales,4.0,5,No
TXN-0004876,2023-12-13,36756.0,Juguetes,168433.0,PSE,App móvil,Android,Pereira,1.0,5,No
TXN-0007501,2023-08-23,13219.0,Alimentos,65440.0,Tarjeta crédito,App móvil,iOS,Ibagué,1.0,5,No
TXN-0007611,2024-03-01,28686.0,Moda,150518.0,Tarjeta crédito,Sitio web,Android,Medellín,7.0,5,No
TXN-0005213,2022-05-09,49176.0,Hogar,280915.0,PSE,App móvil,Desktop,Cali,3.0,5,No
TXN-0000763,2024-09-04,54906.0,Moda,81843.0,Tarjeta crédito,App móvil,iOS,Medellín,6.0,5,No
TXN-0000426,2022-02-19,59263.0,Electrónica,289018.0,Billetera digital,App móvil,iOS,Cali,5.0,5,No
TXN-0003810,2022-07-03,24778.0,MODA,128752.0,PSE,Sitio web,iOS,Pereira,4.0,5,No
TXN-0005133,2022-07-09,39569.0,Moda,93788.0,Billetera digital,App móvil,Desktop,Barranquilla,6.0,5,No
TXN-0000591,2024-07-29,24268.0,Tecnología,1084568.0,Tarjeta crédito,Sitio web,iOS,Bogotá,6.0,5,No
TXN-0006399,2024-07-01,26810.0,Alimentos,70930.0,Tarjeta crédito,App móvil,Android,Cúcuta,7.0,5,No
TXN-0006666,2022-01-25,40333.0,Hogar,234781.0,Billetera digital,App móvil,Android,Medellín,7.0,5,No
TXN-0000896,2023-03-15,18459.0,Mascotas,42839.0,Contraentrega,Sitio web,iOS,Bogotá,2.0,5,Sí
TXN-0004746,2023-07-12,11166.0,Tecnología,212611.0,Tarjeta débito,App móvil,Android,Cali,6.0,5,No
TXN-0001430,2023-01-18,47524.0,Hogar,204548.0,Tarjeta crédito,App móvil,Desktop,Barranquilla,3.0,5,No
TXN-0003035,2024-07-20,37095.0,Belleza,103987.0,Tarjeta débito,Sitio web,Android,Pereira,5.0,5,No
TXN-0001892,2023-06-09,22064.0,Moda,136121.0,Billetera digital,Sitio web,Desktop,Manizales,7.0,5,No
TXN-0007590,2024-10-30,13292.0,Moda,159075.0,Contraentrega,App móvil,Android,Bogotá,5.0,5,No
TXN-0005230,2023-05-13,50105.0,Moda,194416.0,Tarjeta débito,Sitio web,Desktop,Barranquilla,7.0,5,No
TXN-0003994,2024-08-07,10206.0,Alimentos,63275.0,Tarjeta crédito,Sitio web,Android,Bucaramanga,3.0,5,No
TXN-0005635,2023-04-22,34289.0,ELECTRÓNICA,397603.0,Tarjeta crédito,App móvil,iOS,Ibagué,4.0,5,No
TXN-0003203,2022-01-13,52872.0,Hogar,306832.0,Tarjeta crédito,Sitio web,Android,Pereira,4.0,5,No
TXN-0000501,2024-09-03,38280.0,Belleza,36850.0,Contraentrega,App móvil,Android,Bogotá,5.0,5,No
TXN-0001584,2023-05-02,53723.0,Electrónica,203385.0,Contraentrega,Sitio web,iOS,Medellín,4.0,5,No
TXN-0007322,2023-04-15,44352.0,Moda,162503.0,Billetera digital,App móvil,Desktop,Pereira,1.0,5,No
TXN-0004128,2022-07-15,26242.0,Libros,80665.0,Tarjeta débito,App móvil,Android,Bogotá,1.0,5,No
TXN-0007331,2023-03-01,31099.0,Libros,46161.0,Tarjeta débito,App móvil,Android,Cúcuta,5.0,5,No
TXN-0007982,2024-02-01,21285.0,Moda,39981.0,Contraentrega,Sitio web,Android,Cali,4.0,5,No
TXN-0005172,2024-06-11,57027.0,Moda,70365.0,Tarjeta débito,App móvil,iOS,Cali,4.0,5,No
TXN-0004011,2022-06-29,25403.0,Juguetes,103478.0,Billetera digital,Sitio web,iOS,Pereira,8.0,5,No
TXN-0005910,2022-02-15,58334.0,Electrónica,1099089.0,Contraentrega,App móvil,,Cúcuta,4.0,5,No
TXN-0000452,2022-06-02,48171.0,Belleza,101055.0,Billetera digital,App móvil,iOS,Bogotá,6.0,5,No
TXN-0005268,2022-09-12,26982.0,Moda,101775.0,Tarjeta crédito,Sitio web,Android,Bogotá,6.0,5,No
TXN-0007510,,11584.0,Electrónica,786992.0,PSE,Sitio web,Android,Bogotá,3.0,5,No
TXN-0004959,2024-08-07,20349.0,Mascotas,39264.0,Billetera digital,App móvil,Android,Cartagena,5.0,5,No
TXN-0000021,,26096.0,Libros,65667.0,Billetera digital,App móvil,Android,Bogotá,3.0,5,No
TXN-0004273,2022-12-04,27774.0,Belleza,78735.0,Tarjeta crédito,App móvil,Desktop,Cartagena,6.0,5,No
TXN-0007332,2023-12-10,26981.0,Electrónica,756616.0,Tarjeta crédito,App móvil,,Medellín,5.0,5,Sí
TXN-0007742,2023-02-16,10975.0,Juguetes,105290.0,PSE,Sitio web,Desktop,Bucaramanga,2.0,5,No
TXN-0002520,2024-09-22,13901.0,Hogar,185574.0,Tarjeta crédito,Sitio web,iOS,Medellín,2.0,5,No
TXN-0003591,2022-11-26,37119.0,Electrónica,822205.0,PSE,App móvil,Android,Bogotá,6.0,5,No
TXN-0003302,2023-06-25,24477.0,Libros,48343.0,PSE,Sitio web,Android,Medellín,9.0,3,No
TXN-0006905,2022-07-30,55100.0,Belleza,48683.0,Tarjeta débito,App móvil,Desktop,BOGOTÁ,4.0,5,No
TXN-0003445,2024-07-07,43973.0,Electrónica,382520.0,Tarjeta débito,Sitio web,Android,Cali,4.0,5,No
TXN-0003489,2023-06-28,55393.0,Deportes,166288.0,Tarjeta crédito,App móvil,iOS,BARRANQUILLA,4.0,5,No
TXN-0007022,2023-02-17,51654.0,Moda,111398.0,Contraentrega,App móvil,Android,Barranquilla,5.0,5,No
TXN-0006234,2024-02-26,12633.0,Hogar,169672.0,PSE,App móvil,Desktop,Medellín,4.0,5,No
TXN-0006798,2023-07-28,19976.0,Moda,124425.0,Tarjeta crédito,Sitio web,iOS,Medellín,2.0,5,No
TXN-0003313,2023-05-02,12091.0,Hogar,319527.0,Tarjeta crédito,Sitio web,Desktop,Barranquilla,1.0,5,Sí
TXN-0004410,2024-01-04,56219.0,Moda,144675.0,Billetera digital,App móvil,Android,Medellín,6.0,5,No
TXN-0003916,2024-06-19,32340.0,Hogar,208573.0,PSE,App móvil,Desktop,Bogotá,4.0,5,No
TXN-0001747,2024-09-04,47948.0,Electrónica,869113.0,Contraentrega,App móvil,Android,Bogotá,3.0,5,No
TXN-0002675,2024-09-16,33862.0,Moda,159916.0,PSE,Sitio web,iOS,Cali,5.0,5,No
TXN-0003991,2024-03-26,32419.0,Deportes,122494.0,PSE,Sitio web,Android,Barranquilla,5.0,5,No
TXN-0006106,2023-09-29,43723.0,Juguetes,78783.0,Tarjeta crédito,App móvil,Android,Pereira,6.0,5,No
TXN-0004473,2023-02-20,27830.0,Hogar,167074.0,Contraentrega,App móvil,Android,Bogotá,1.0,5,No
TXN-0002379,2023-10-25,41266.0,Alimentos,53629.0,Tarjeta crédito,Sitio web,Desktop,Medellín,5.0,5,No
TXN-0007201,2023-07-06,25056.0,Belleza,91918.0,Tarjeta crédito,Sitio web,Android,Medellín,3.0,5,No
TXN-0004152,2024-08-21,35357.0,Hogar,123292.0,PSE,App móvil,Android,Cartagena,3.0,5,No
,2024-09-04,11076.0,Hogar,308323.0,Billetera digital,Sitio web,iOS,Cúcuta,5.0,5,No
TXN-0002089,2023-07-06,36649.0,Moda,272775.0,Contraentrega,Sitio web,Android,Cartagena,7.0,5,No
TXN-0001882,2024-11-15,37871.0,Mascotas,93962.0,Tarjeta débito,Sitio web,Desktop,Bogotá,3.0,5,No
TXN-0005475,2024-04-19,59061.0,Deportes,192871.0,PSE,App móvil,Android,Bogotá,5.0,5,No
TXN-0003699,2023-04-25,48471.0,Deportes,164250.0,PSE,App móvil,Desktop,Barranquilla,5.0,5,No
,2022-01-31,22521.0,Alimentos,69644.0,Contraentrega,App móvil,Android,Ibagué,2.0,5,No
TXN-0003090,2024-04-30,49534.0,Electrónica,870635.0,Tarjeta crédito,App móvil,Android,Cali,6.0,5,No
TXN-0001242,2023-11-27,37417.0,Deportes,172695.0,Tarjeta débito,App móvil,Android,Medellín,2.0,5,No
TXN-0006152,2023-07-23,55908.0,Hogar,170927.0,Tarjeta crédito,Sitio web,Android,Medellín,2.0,5,No
TXN-0004644,2022-03-25,21309.0,Deportes,55130.0,Tarjeta crédito,Sitio web,Android,Bogotá,5.0,5,No
TXN-0006202,2022-04-08,41019.0,Hogar,203408.0,Tarjeta crédito,App móvil,Android,Bogotá,3.0,5,No
TXN-0006436,2023-05-08,31669.0,MODA,101397.0,Contraentrega,App móvil,Android,Bogotá,4.0,5,No
TXN-0002151,2022-03-16,44817.0,Tecnología,560745.0,Tarjeta débito,App móvil,Android,Cali,7.0,5,No
TXN-0001722,2022-10-18,41872.0,Hogar,122007.0,PSE,App móvil,iOS,Pereira,3.0,5,No
TXN-0003707,2024-08-24,40695.0,Tecnología,513900.0,Billetera digital,App móvil,iOS,Bogotá,3.0,5,No
,2023-11-14,,Belleza,136482.0,Tarjeta débito,App móvil,Android,Bogotá,3.0,5,No
TXN-0000732,2024-04-15,38560.0,Tecnología,935272.0,Contraentrega,App móvil,Android,Medellín,3.0,5,No
TXN-0000493,2024-08-01,55152.0,HOGAR,206135.0,Tarjeta crédito,App móvil,Desktop,Barranquilla,6.0,5,No
TXN-0001377,2023-12-20,,Libros,49865.0,Contraentrega,Sitio web,Android,Medellín,3.0,5,No
TXN-0003776,2023-11-27,44447.0,Moda,105320.0,Contraentrega,App móvil,iOS,Barranquilla,1.0,5,No
TXN-0003067,2023-07-24,58342.0,Moda,87032.0,Tarjeta débito,App móvil,Android,BARRANQUILLA,6.0,5,No
TXN-0005017,2022-04-20,44070.0,Mascotas,25927.0,Contraentrega,App móvil,iOS,Bogotá,5.0,5,No
TXN-0004633,2024-10-01,19432.0,Hogar,233465.0,Tarjeta crédito,App móvil,,Bogotá,5.0,5,No
TXN-0003835,2024-12-03,27806.0,Deportes,154956.0,Tarjeta débito,App móvil,Android,Cúcuta,1.0,5,No
TXN-0001478,2024-12-14,20454.0,Moda,152262.0,Tarjeta crédito,Sitio web,Android,Bogotá,1.0,5,No
TXN-0002588,2022-08-13,47662.0,Belleza,61925.0,Tarjeta crédito,App móvil,Android,Cartagena,8.0,4,No
TXN-0007183,2024-05-21,20576.0,Alimentos,40327.0,Tarjeta crédito,Sitio web,iOS,Bogotá,2.0,5,No
TXN-0000176,2024-01-16,46736.0,Alimentos,27393.0,Contraentrega,App móvil,Android,Barranquilla,5.0,5,No
TXN-0004475,2024-03-31,47671.0,Hogar,156459.0,Tarjeta crédito,App móvil,Android,Cali,4.0,5,No
TXN-0007585,2023-09-08,23209.0,Belleza,84673.0,Tarjeta débito,Sitio web,Android,Bucaramanga,5.0,5,No
TXN-0006508,2023-07-01,30443.0,Hogar,287844.0,Contraentrega,App móvil,iOS,Bogotá,5.0,5,No
TXN-0006970,2022-01-26,46920.0,Moda,191017.0,Tarjeta crédito,App móvil,Android,Bogotá,3.0,5,No
TXN-0003678,2023-07-04,56493.0,Moda,132596.0,Tarjeta débito,App móvil,Desktop,Bucaramanga,4.0,5,No
TXN-0000794,2022-01-26,19395.0,Electrónica,5000.0,PSE,Sitio web,Android,Bogotá,2.0,5,No
TXN-0003454,,21429.0,Belleza,51386.0,Billetera digital,Sitio web,iOS,Barranquilla,8.0,4,No
TXN-0000611,2022-11-13,41027.0,Alimentos,24231.0,PSE,App móvil,Desktop,Medellín,5.0,5,No
TXN-0002805,2024-07-14,50916.0,Moda,123187.0,Tarjeta crédito,App móvil,Desktop,Bogotá,3.0,5,No
TXN-0005772,2022-12-13,19989.0,Alimentos,43894.0,PSE,App móvil,Android,Cartagena,5.0,5,No
TXN-0005852,2024-03-29,32545.0,JUGUETES,84757.0,Tarjeta crédito,App móvil,Android,Bogotá,1.0,5,No
TXN-0007704,2023-06-06,,Electrónica,578828.0,Tarjeta débito,App móvil,iOS,Bucaramanga,5.0,5,No
TXN-0006108,2022-07-08,38329.0,Hogar,28314.0,Tarjeta crédito,Sitio web,Desktop,Bogotá,11.0,5,No
TXN-0004326,2023-08-25,44738.0,Alimentos,49283.0,Tarjeta crédito,App móvil,iOS,Medellín,1.0,5,No
TXN-0007850,2023-06-26,48285.0,Deportes,94952.0,Tarjeta crédito,Sitio web,Android,Pereira,1.0,5,No
TXN-0006661,2024-04-11,39543.0,Juguetes,108990.0,Tarjeta crédito,Sitio web,Android,Pereira,5.0,5,No
TXN-0004237,2023-09-25,38725.0,Moda,200695.0,Tarjeta crédito,Sitio web,Android,Cali,2.0,5,No
TXN-0001874,2024-04-09,26440.0,Deportes,230498.0,Contraentrega,Sitio web,Android,Pereira,4.0,5,No
TXN-0001257,2024-08-05,42594.0,Electrónica,558669.0,PSE,App móvil,,Bogotá,2.0,5,No
TXN-0003624,2022-10-08,39866.0,Libros,37793.0,Tarjeta débito,App móvil,Desktop,Cali,4.0,5,No
,2023-10-03,53461.0,Tecnología,1301085.0,Tarjeta débito,App móvil,Android,Cali,4.0,5,No
TXN-0005229,2022-12-29,29525.0,Alimentos,60661.0,Tarjeta débito,App móvil,Android,Pereira,8.0,3,No
